"What's been going on?",inquiry
"How can I help you?",inquiry
"What do you need?",inquiry
"How are you feeling?",inquiry
"What's new with you?",inquiry
"How can I assist you?",inquiry
"What's been on your mind lately?",inquiry
"How are you?",inquiry
"You are capable of achieving great things.",motivation
"Believe in yourself.",motivation
"You got this!",motivation
"Don't give up.",motivation
"You are strong.",motivation
"You are loved.",motivation
"You are enough.",motivation
"You are worthy.",motivation
"You are deserving of love and respect.",motivation
"You are not defined by your struggles.",motivation
"Believe you can and you're halfway there.",motivation
"The greatest glory in living lies not in never falling, but in rising every time we fall.",motivation
"You are stronger than you seem, braver than you believe, and smarter than you think.",motivation
"Keep your eyes on the stars, and your feet on the ground.",motivation
"Success is not final, failure is not fatal: It is the courage to continue that counts.",motivation
"You miss 100% of the shots you don't take.",motivation
"Don't watch the clock; do what it does. Keep going.",motivation
"Keep your face to the sunshine and you cannot see a shadow.",motivation
"Life is 10% what happens to you and 90% how you react to it.",motivation
"You are never too old to set another goal or to dream a new dream.",motivation
"Take care of yourself.",self-care
"You are important.",self-care
"Make time for yourself.",self-care
"You deserve to relax.",self-care
"Take a break.",self-care
"You are worthy of love and respect.",self-care
"Prioritize your well-being.",self-care
"You are enough.",self-care
"Take care of your body.",self-care
"You are deserving of love and respect.",self-care
"Thank you.",thanks
"I appreciate you.",thanks
"You're welcome.",thanks
"I'm grateful for you.",thanks
"Thanks for everything.",thanks
"I appreciate your kindness.",thanks
"You're the best.",thanks
"I'm thankful for you.",thanks
"Thanks for being there for me.",thanks
"I appreciate your love and support.",thanks
