"question", intent
"I'm so grateful for your support, it means a lot to me!", gratitude
"Thank you for being so helpful and supportive!", gratitude
"Thank you for being so understanding and supportive!", gratitude
"Thank you so much for your help, I really appreciate it!", gratitude
"Thanks a lot, you made my day!", gratitude
"Thanks a lot, you made my day, I really appreciate it!", gratitude
"Thanks a lot, you've been a huge help!", gratitude
"Thanks for being such a great listener!", gratitude
"it's been really valuable!", gratitude
"Good day to you!", greeting
"Greetings! How's it going?", greeting
"Hello, how are you?", greeting
"Hey, I'm good thanks!", greeting
"Hi, what's up?", greeting
"Can you assist me with my project?", help
"Can you help me figure this out?", help
"Can you share some tips for managing stress?", help
"Could you guide me through this issue?", help
"How can I improve my focus?", help
"I just need some help with my assignments.", help
"I need help understanding this topic.", help
"I'm not sure how to approach this problem.", help
"I'm not sure how to handle this difficult situation.", help
"I'm not sure how to handle this stressful situation.", help
"I'm not sure how to navigate this difficult situation.", help
"I'm not sure how to overcome this obstacle.", help
"I'm not sure how to prioritize my tasks.", help
"I'm not sure what to say.", help
"Can you explain this concept to me?", inquiry
"How can I improve my mental health?", inquiry
"How can I stay motivated?", inquiry
"What are some tips for managing stress?", inquiry
"What are the symptoms of anxiety?", inquiry
"Can you inspire me to keep going?", motivation
"I need a little encouragement.", motivation
"I need some advice on how to stay motivated.", motivation
"I'm looking for a way to improve my mental health.", motivation
"I'm looking for a way to improve my mood.", motivation
"I'm looking for a way to improve my relationships.", motivation
"I'm looking for a way to improve my self-esteem.", motivation
"I'm looking for some motivation to study.", motivation
"I'm struggling to find the motivation to work.", motivation
"I need to prioritize my well-being.", self-care
"I need to take a break and relax.", self-care
"I need to take care of my physical health.", self-care
"I want to start a self-care routine.", self-care
"I want to start practicing mindfulness.", self-care
"I appreciate the support you're providing.", thanks
"I really appreciate your assistance!", thanks
"I want to express my gratitude for your help.", thanks
"I'm feeling really grateful for your encouragement.", thanks
"I'm feeling really grateful for your guidance.", thanks
"I'm feeling really grateful for your support.", thanks
"I'm really thankful for your assistance!", thanks
"Thank you for listening to me!", thanks
"Thank you so much for this!", thanks
"Thanks a lot, you made my day!", thanks
"Thanks for your help!", thanks
